Change Component Footprint: Designator=C33 Old Footprint=FP-CC0402-MFG New Footprint=CAPC1005X06N
Change Component Footprint: Designator=C34 Old Footprint=FP-CC0402-MFG New Footprint=CAPC1005X06N
Change Component Footprint: Designator=R33 Old Footprint=RESC1005X40X25ML05T05 New Footprint=RESC1005X04N
Change Component Footprint: Designator=R34 Old Footprint=RESC1005X40X25ML05T05 New Footprint=RESC1005X04N
Change Component Footprint: Designator=IC7 Old Footprint=SOIC127P600X175-8N New Footprint=SOP127P600X175-8N
Change Component Comment : Designator=IC7 Old Comment=TJF1051T_3 New Comment=CAN driver
Change Managed Component Library Link : Designator=C33 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=42C9FC1E-75A6-4768-9BD8-AF6909205E34 New ItemGUID= Old RevisionGUID=7EE23CB7-C0C8-4DCD-B292-ABB1D75F2141 New RevisionGUID=
Change Managed Component Library Link : Designator=C34 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=42C9FC1E-75A6-4768-9BD8-AF6909205E34 New ItemGUID= Old RevisionGUID=7EE23CB7-C0C8-4DCD-B292-ABB1D75F2141 New RevisionGUID=
Change Managed Component Library Link : Designator=R33 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=3947B93D-F868-41AF-A023-CB22F22F507E New ItemGUID= Old RevisionGUID=33D1A27D-DBDB-474E-84CB-FCEF1E737FA6 New RevisionGUID=
Change Managed Component Library Link : Designator=R34 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=3947B93D-F868-41AF-A023-CB22F22F507E New ItemGUID= Old RevisionGUID=33D1A27D-DBDB-474E-84CB-FCEF1E737FA6 New RevisionGUID=
Change component parameters: Designator = "IC7" ("IC7"); Footprint = "SOIC127P600X175-8N"; UniqueID = "\WVCAADAK" ("\WVCAADAK")
Change component parameters (AddParameter): Name = "Depth"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Halogen Free"; Value = "Halogen Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CC0402KRX7R9BB561"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0,10000, 10=0,02400, 50=0,02400, 100=0,01100, 1000=0,00900, 10000=0,00600 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "CC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "95508"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "603-CC402KRX7R9BB561"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.022inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.02inch"; VariantName = "[No Variations]"
